Item,Description,Quantity,Unit Price ($USD),URL,Running Total ($USD),Running Total with Tax in Quebec ($USD),,
Amazon Kindle Paperwhite 7th Generation 4GB Wi-Fi 6in Black - Grade B1,The device which will serve as the E-Ink screen. Buying Used.,1,42.20,https://www.ebay.ca/itm/267383364395,42.20,48.53,,
Raspberry Pi 4 Model B/1GB,"Will receive an HDMI stream, encode it using FFMpeg then broadcast using OpenWRT. Lowest RAM possible. CPU speed is important so not using an Orange Pi.",1,40.49,pishop.ca/product/raspberry-pi-4-model-b-1gb,82.69,95.093,,
